id,make,doors,body_style,drive,curb_weight,cylinders,horsepower,mpg,price
1,alfa-romero,two,convertible,rwd,2548,four,111,27,13495
2,alfa-romero,two,convertible,rwd,2548,four,111,27,16500
3,alfa-romero,two,hatchback,rwd,2823,six,154,26,16500
4,audi,four,sedan,fwd,2337,four,102,30,13950
5,audi,four,sedan,4wd,2824,five,115,22,17450
6,audi,two,sedan,fwd,2507,five,110,25,15250
7,audi,four,sedan,fwd,2844,five,110,25,17710
8,audi,four,wagon,fwd,2954,five,110,25,18920
9,audi,four,sedan,fwd,3086,five,140,20,23875
10,audi,two,hatchback,4wd,3053,five,160,22,11999
11,bmw,two,sedan,rwd,2395,four,101,29,16430
12,bmw,four,sedan,rwd,2395,four,101,29,16925
13,bmw,two,sedan,rwd,2710,six,121,28,20970
14,bmw,four,sedan,rwd,2765,six,121,28,21105
15,bmw,four,sedan,rwd,3055,six,121,25,24565
16,bmw,four,sedan,rwd,3230,six,182,22,30760
17,bmw,two,sedan,rwd,3380,six,182,22,41315
18,bmw,four,sedan,rwd,3505,six,182,20,36880
19,chevrolet,two,hatchback,fwd,1488,three,48,53,5151
20,chevrolet,two,hatchback,fwd,1874,four,70,43,6295
21,chevrolet,four,sedan,fwd,1909,four,70,43,6575
22,dodge,two,hatchback,fwd,1876,four,68,41,5572
23,dodge,two,hatchback,fwd,1876,four,68,38,6377
24,dodge,two,hatchback,fwd,2128,four,102,30,7957
25,dodge,four,hatchback,fwd,1967,four,68,38,6229
26,dodge,four,sedan,fwd,1989,four,68,38,6692
27,dodge,four,sedan,fwd,1989,four,68,38,7609
28,dodge,six,sedan,fwd,2191,four,102,30,8558
29,dodge,four,wagon,fwd,2535,four,88,30,8921
30,dodge,two,hatchback,fwd,2811,four,145,24,12964
31,honda,two,hatchback,fwd,1713,four,58,54,6479
32,honda,two,hatchback,fwd,1819,four,76,38,6855
33,honda,two,hatchback,fwd,1837,four,60,42,5399
34,honda,two,hatchback,fwd,1940,four,76,34,6529
35,honda,two,hatchback,fwd,1956,four,76,34,7129
36,honda,four,sedan,fwd,2010,four,76,34,7295
37,honda,four,wagon,fwd,2024,four,76,34,7295
38,honda,two,hatchback,fwd,2236,four,86,33,7895
39,honda,two,hatchback,fwd,2289,four,86,33,9095
40,honda,four,sedan,fwd,2304,four,86,33,8845
41,honda,four,sedan,fwd,2372,four,86,33,10295
42,honda,four,sedan,fwd,2465,four,101,28,12945
43,honda,two,sedan,fwd,2293,four,100,31,10345
44,isuzu,four,sedan,rwd,2337,four,78,29,6785
45,isuzu,two,sedan,fwd,1874,four,70,43,10345
46,isuzu,four,sedan,fwd,1909,four,70,43,8845
47,isuzu,two,hatchback,rwd,2734,four,90,29,11048
48,jaguar,four,sedan,rwd,4066,six,176,19,32250
49,jaguar,four,sedan,rwd,4066,six,176,19,35550
50,jaguar,two,sedan,rwd,3950,twelve,262,17,36000
51,mazda,two,hatchback,fwd,1890,four,68,31,5195
52,mazda,two,hatchback,fwd,1900,four,68,38,6095
53,mazda,two,hatchback,fwd,1905,four,68,38,6795
54,mazda,four,sedan,fwd,1945,four,68,38,6695
55,mazda,four,sedan,fwd,1950,four,68,38,7395
56,mazda,two,hatchback,rwd,2380,two,101,23,10945
57,mazda,two,hatchback,rwd,2380,two,101,23,11845
58,mazda,two,hatchback,rwd,2385,two,101,23,13645
59,mazda,two,hatchback,rwd,2500,two,135,23,15645
60,mazda,two,hatchback,fwd,2385,four,84,32,8845
61,mazda,four,sedan,fwd,2410,four,84,32,8495
62,mazda,two,hatchback,fwd,2385,four,84,32,10595
63,mazda,four,sedan,fwd,2410,four,84,32,10245
64,mazda,four,sedan,fwd,2443,four,64,42,10795
65,mazda,four,hatchback,fwd,2425,four,84,32,11245
66,mazda,four,sedan,rwd,2670,four,120,27,18280
67,mazda,four,sedan,rwd,2700,four,72,39,18344
68,mercedes-benz,four,sedan,rwd,3515,five,123,25,25552
69,mercedes-benz,four,wagon,rwd,3750,five,123,25,28248
70,mercedes-benz,two,hardtop,rwd,3495,five,123,25,28176
71,mercedes-benz,four,sedan,rwd,3770,five,123,25,31600
72,mercedes-benz,four,sedan,rwd,3740,eight,155,18,34184
73,mercedes-benz,two,convertible,rwd,3685,eight,155,18,35056
74,mercedes-benz,four,sedan,rwd,3900,eight,184,16,40960
75,mercedes-benz,two,hardtop,rwd,3715,eight,184,16,45400
76,mercury,two,hatchback,rwd,2910,four,175,24,16503
77,mitsubishi,two,hatchback,fwd,1918,four,68,41,5389
78,mitsubishi,two,hatchback,fwd,1944,four,68,38,6189
79,mitsubishi,two,hatchback,fwd,2004,four,68,38,6669
80,mitsubishi,two,hatchback,fwd,2145,four,102,30,7689
81,mitsubishi,two,hatchback,fwd,2370,four,116,30,9959
82,mitsubishi,two,hatchback,fwd,2328,four,88,32,8499
83,mitsubishi,two,hatchback,fwd,2833,four,145,24,12629
84,mitsubishi,two,hatchback,fwd,2921,four,145,24,14869
85,mitsubishi,two,hatchback,fwd,2926,four,145,24,14489
86,mitsubishi,four,sedan,fwd,2365,four,88,32,6989
87,mitsubishi,four,sedan,fwd,2405,four,88,32,8189
88,mitsubishi,four,sedan,fwd,2403,four,116,30,9279
89,mitsubishi,four,sedan,fwd,2403,four,116,30,9279
90,nissan,two,sedan,fwd,1889,four,69,37,5499
91,nissan,two,sedan,fwd,2017,four,55,50,7099
92,nissan,two,sedan,fwd,1918,four,69,37,6649
93,nissan,four,sedan,fwd,1938,four,69,37,6849
94,nissan,four,wagon,fwd,2024,four,69,37,7349
95,nissan,two,sedan,fwd,1951,four,69,37,7299
96,nissan,two,hatchback,fwd,2028,four,69,37,7799
97,nissan,four,sedan,fwd,1971,four,69,37,7499
98,nissan,four,wagon,fwd,2037,four,69,37,7999
99,nissan,two,hardtop,fwd,2008,four,69,37,8249
100,nissan,four,hatchback,fwd,2324,four,97,34,8949
101,nissan,four,sedan,fwd,2302,four,97,34,9549
102,nissan,four,sedan,fwd,3095,six,152,22,13499
103,nissan,four,wagon,fwd,3296,six,152,22,14399
104,nissan,four,sedan,fwd,3060,six,152,25,13499
105,nissan,two,hatchback,rwd,3071,six,160,25,17199
106,nissan,two,hatchback,rwd,3139,six,200,23,19699
107,nissan,two,hatchback,rwd,3139,six,160,25,18399
108,peugot,four,sedan,rwd,3020,four,97,24,11900
109,peugot,four,sedan,rwd,3197,four,95,33,13200
110,peugot,four,wagon,rwd,3230,four,97,24,12440
111,peugot,four,wagon,rwd,3430,four,95,25,13860
112,peugot,four,sedan,rwd,3075,four,95,24,15580
113,peugot,four,sedan,rwd,3252,four,95,33,16900
114,peugot,four,wagon,rwd,3285,four,95,24,16695
115,peugot,four,wagon,rwd,3485,four,95,25,17075
116,peugot,four,sedan,rwd,3075,four,97,24,16630
117,peugot,four,sedan,rwd,3252,four,95,33,17950
118,peugot,four,sedan,rwd,3130,four,142,24,18150
119,plymouth,two,hatchback,fwd,1918,four,68,41,5572
120,plymouth,two,hatchback,fwd,2128,four,102,30,7957
121,plymouth,four,hatchback,fwd,1967,four,68,38,6229
122,plymouth,four,sedan,fwd,1989,four,68,38,6692
123,plymouth,four,sedan,fwd,2191,four,68,38,7609
124,plymouth,four,wagon,fwd,2535,four,88,30,8921
125,plymouth,two,hatchback,rwd,2818,four,145,24,12764
126,porsche,two,hatchback,rwd,2778,four,143,27,22018
127,porsche,two,hardtop,rwd,2756,six,207,25,29999
128,porsche,two,hardtop,rwd,2756,six,207,25,34028
129,porsche,two,convertible,rwd,2800,six,207,25,37028
130,porsche,two,hatchback,rwd,3366,eight,288,28,72000
131,renault,four,wagon,fwd,2579,four,400,31,9295
132,renault,two,hatchback,fwd,2460,four,85,31,9895
133,saab,two,hatchback,fwd,2658,four,110,28,11850
134,saab,four,sedan,fwd,2695,four,110,28,12170
135,saab,two,hatchback,fwd,2707,four,110,28,15040
136,saab,four,sedan,fwd,2758,four,110,28,15510
137,saab,two,hatchback,fwd,2808,four,160,26,18150
138,saab,four,sedan,fwd,2847,four,160,26,18620
139,subaru,two,hatchback,fwd,2050,four,69,36,5118
140,subaru,two,hatchback,fwd,2120,four,73,31,7053
141,subaru,two,hatchback,4wd,2240,four,73,31,7603
142,subaru,four,sedan,fwd,2145,four,82,37,7126
143,subaru,four,sedan,fwd,2190,four,82,33,7775
144,subaru,four,sedan,fwd,2340,four,94,32,9960
145,subaru,four,sedan,4wd,2385,four,82,25,9233
146,subaru,four,sedan,4wd,2510,four,111,29,11259
147,subaru,four,wagon,fwd,2290,four,82,32,7463
148,subaru,four,wagon,fwd,2455,four,94,31,10198
149,subaru,four,wagon,4wd,2420,four,82,29,8013
150,subaru,four,wagon,4wd,2650,four,111,23,11694
151,toyota,two,hatchback,fwd,1985,four,62,39,5348
152,toyota,two,hatchback,fwd,2040,four,62,38,6338
153,toyota,four,hatchback,fwd,2015,four,62,38,6488
154,toyota,four,wagon,fwd,2280,four,62,37,6918
155,toyota,four,wagon,4wd,2290,four,62,32,7898
156,toyota,four,wagon,4wd,3110,four,62,32,8778
157,toyota,four,sedan,fwd,2081,four,70,37,6938
158,toyota,four,hatchback,fwd,2109,four,70,37,7198
159,toyota,four,sedan,fwd,2275,four,56,36,7898
160,toyota,four,hatchback,fwd,2275,four,56,47,7788
161,toyota,four,sedan,fwd,2094,four,70,47,7738
162,toyota,four,hatchback,fwd,2122,four,70,34,8358
163,toyota,four,sedan,fwd,2140,four,70,34,9258
164,toyota,two,sedan,rwd,2169,four,70,34,8058
165,toyota,two,hatchback,rwd,2204,four,70,34,8238
166,toyota,two,sedan,rwd,2265,four,112,29,9298
167,toyota,two,hatchback,rwd,2300,four,112,29,9538
168,toyota,two,hardtop,rwd,2540,four,116,30,8449
169,toyota,two,hardtop,rwd,2536,four,116,30,9639
170,toyota,two,hatchback,rwd,2551,four,116,30,9989
171,toyota,two,hardtop,rwd,2679,four,116,30,11199
172,toyota,two,hatchback,rwd,2714,four,116,30,11549
173,toyota,two,convertible,rwd,2975,four,116,30,17669
174,toyota,four,sedan,fwd,2326,four,92,34,8948
175,toyota,four,sedan,fwd,2480,four,73,33,10698
176,toyota,four,hatchback,fwd,2414,four,92,32,9988
177,toyota,four,sedan,fwd,2414,four,92,32,10898
178,toyota,four,hatchback,fwd,2458,four,92,32,11248
179,toyota,two,hatchback,rwd,2976,six,161,24,16558
180,toyota,two,hatchback,rwd,3016,six,161,24,15998
181,toyota,four,sedan,rwd,3131,six,156,24,15690
182,toyota,four,wagon,rwd,3151,six,156,24,15750
183,volkswagen,two,sedan,fwd,2261,four,52,46,7775
184,volkswagen,two,sedan,fwd,2209,four,85,34,7975
185,volkswagen,four,sedan,fwd,2264,four,52,46,7995
186,volkswagen,four,sedan,fwd,2212,four,85,34,8195
187,volkswagen,four,sedan,fwd,2275,four,85,34,8495
188,volkswagen,four,sedan,fwd,2319,four,68,42,9495
189,volkswagen,four,sedan,fwd,2300,four,100,32,9995
190,volkswagen,two,convertible,fwd,2254,four,90,29,11595
191,volkswagen,two,hatchback,fwd,2221,four,90,29,9980
192,volkswagen,four,sedan,fwd,2661,five,110,24,13295
193,volkswagen,four,sedan,fwd,2579,four,68,38,13845
194,volkswagen,four,wagon,fwd,2563,four,88,31,12290
195,volvo,four,sedan,rwd,2912,four,114,28,12940
196,volvo,four,wagon,rwd,3034,four,114,28,13415
197,volvo,four,sedan,rwd,2935,four,114,28,15985
198,volvo,four,wagon,rwd,3042,four,114,28,16515
199,volvo,four,sedan,rwd,3045,four,162,22,18420
200,volvo,four,wagon,rwd,3157,four,162,22,18950
201,volvo,four,sedan,rwd,2952,four,114,28,16845
202,volvo,four,sedan,rwd,3049,four,160,25,19045
203,volvo,four,sedan,rwd,3012,six,134,23,21485
204,volvo,four,sedan,rwd,3217,six,106,27,22470
205,volvo,four,sedan,rwd,3062,four,114,25,22625
